Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
0,acl,aclCreateDataBuffer,0.27,1,0.27,0.27,0.27,0.0
0,acl,aclCreateTensorDesc,1.98,1,1.98,1.98,1.98,0.0
0,acl,aclDestroyTensorDesc,2.22,1,2.22,2.22,2.22,0.0
0,acl,aclMallocMemInner,193.87,1,193.87,193.87,193.87,0.0
0,acl,aclnnEye,594.09,1,594.09,594.09,594.09,0.0
0,acl,aclnnEyeGetWorkspaceSize,213361.28,1,213361.28,213361.28,213361.28,0.0
0,acl,aclnnEyeTiling,54.02,1,54.02,54.02,54.02,0.0
0,acl,aclrtCreateStream,567.0,1,567.0,567.0,567.0,0.0
0,acl,aclrtDestroyStream,515.56,1,515.56,515.56,515.56,0.0
0,acl,aclrtFree,17937.06,1,17937.06,17937.06,17937.06,0.0
0,acl,aclrtFreeHost,192343.91,1,192343.91,192343.91,192343.91,0.0
0,acl,aclrtMalloc,194.85,1,194.85,194.85,194.85,0.0
0,acl,aclrtMallocHost,25640.12,1,25640.12,25640.12,25640.12,0.0
0,acl,aclrtMemcpy,18254.42,2,9127.21,8924.57,9329.85,41062.97
0,acl,aclrtResetDevice,2108462.8,1,2108462.8,2108462.8,2108462.8,0.0
0,acl,aclrtSynchronizeStreamWithTimeout,288.23,1,288.23,288.23,288.23,0.0
0,node,launch,570.15,1,570.15,570.15,570.15,0.0
